关键词:附近；酒店,                命中次数 = 7
关键词:南京市儿童医院,                命中次数 = 1
关键词:wifi；有,                命中次数 = 6
关键词:早餐；时间,                命中次数 = 3
关键词:南京站,                命中次数 = 10
关键词:酒店服务,                命中次数 = 12
关键词:欢乐世界,                命中次数 = 40
关键词:超市；去,                命中次数 = 8
关键词:水果店,                命中次数 = 1
关键词:宵夜,                命中次数 = 1
关键词:最近；饭店,                命中次数 = 2
关键词:周围；酒店,                命中次数 = 2
关键词:加油,                命中次数 = 8
关键词:附近；地铁,                命中次数 = 2
关键词:电梯,                命中次数 = 435
关键词:洗手,                命中次数 = 16
关键词:餐厅；楼,                命中次数 = 6
关键词:周边；景点,                命中次数 = 5
关键词:商店,                命中次数 = 2
关键词:寄；快递,                命中次数 = 3
关键词:附近,                命中次数 = 50
关键词:狮子楼,                命中次数 = 2
关键词:中山陵,                命中次数 = 31
关键词:洗衣,                命中次数 = 6
关键词:自助餐；收费,                命中次数 = 7
关键词:ktv；哪,                命中次数 = 4
关键词:景点,                命中次数 = 7
关键词:卫生间,                命中次数 = 660
关键词:无线；有,                命中次数 = 1
关键词:客厅,                命中次数 = 28
关键词:咖啡；哪,                命中次数 = 7
关键词:餐厅；时间,                命中次数 = 1
关键词:ktv,                命中次数 = 5
关键词:好吃,                命中次数 = 134
关键词:哪里；地铁,                命中次数 = 13
关键词:多远；高铁站,                命中次数 = 2
关键词:退房,                命中次数 = 6
关键词:住酒店,                命中次数 = 1
关键词:充电宝,                命中次数 = 25
关键词:最近；加油站,                命中次数 = 3
关键词:电影；开门,                命中次数 = 1
关键词:餐厅；几点,                命中次数 = 1
关键词:早餐；去,                命中次数 = 9
关键词:儿童天地在哪里,                命中次数 = 3
关键词:超市；关门,                命中次数 = 1
关键词:喝水,                命中次数 = 15
关键词:南京南站,                命中次数 = 7
关键词:南京有什么,                命中次数 = 9
关键词:附近；高铁站,                命中次数 = 1
关键词:加热,                命中次数 = 1
关键词:休息区,                命中次数 = 3
关键词:楼层,                命中次数 = 2
关键词:附近；停车场,                命中次数 = 1
关键词:博物馆,                命中次数 = 14
关键词:自助餐；吃,                命中次数 = 1
关键词:无线；多少,                命中次数 = 1
关键词:动物园；哪,                命中次数 = 1
关键词:附近；好玩,                命中次数 = 15
关键词:健身；哪,                命中次数 = 1
关键词:坐；电梯,                命中次数 = 13
关键词:健身房；哪,                命中次数 = 8
关键词:晚餐；吃,                命中次数 = 1
关键词:无线；什么,                命中次数 = 1
关键词:周边,                命中次数 = 3
关键词:昆明玉龙湾,                命中次数 = 6
关键词:宴会厅；哪,                命中次数 = 2
关键词:客房；咖啡,                命中次数 = 1
关键词:总统府,                命中次数 = 20
关键词:小吃；特色,                命中次数 = 3
关键词:多远；地铁,                命中次数 = 2
关键词:七彩云南欢乐世界,                命中次数 = 3
关键词:餐馆,                命中次数 = 1
关键词:餐厅,                命中次数 = 68
关键词:昆明面积,                命中次数 = 1
关键词:最近；电影,                命中次数 = 1
关键词:去；高铁站,                命中次数 = 1
关键词:客房；楼,                命中次数 = 1
关键词:茶吧；去,                命中次数 = 41
关键词:乐园；哪,                命中次数 = 30
关键词:打扫,                命中次数 = 8
关键词:南京长江大桥,                命中次数 = 1
关键词:游玩,                命中次数 = 3
关键词:外卖；附近,                命中次数 = 1
关键词:什么；地铁,                命中次数 = 1
关键词:停车,                命中次数 = 13
关键词:游泳馆,                命中次数 = 3
关键词:晚餐；地方,                命中次数 = 1
关键词:附近；公园,                命中次数 = 2
关键词:送；外卖,                命中次数 = 4
关键词:游乐场,                命中次数 = 7
关键词:理发,                命中次数 = 1
关键词:附近；药店,                命中次数 = 2
关键词:餐厅；哪,                命中次数 = 29
关键词:中餐,                命中次数 = 3
关键词:奶茶,                命中次数 = 4
