关键词:附近；酒店,                命中次数 = 1
关键词:wifi；看,                命中次数 = 1
关键词:早餐；时间,                命中次数 = 1
关键词:南京站,                命中次数 = 2
关键词:欢乐世界,                命中次数 = 2
关键词:酒店服务,                命中次数 = 4
关键词:海鲜,                命中次数 = 2
关键词:美发,                命中次数 = 1
关键词:井冈山,                命中次数 = 7
关键词:加油,                命中次数 = 1
关键词:电梯,                命中次数 = 209
关键词:龙虾,                命中次数 = 1
关键词:洗手,                命中次数 = 4
关键词:东方风格,                命中次数 = 2
关键词:餐厅；楼,                命中次数 = 8
关键词:周边；景点,                命中次数 = 2
关键词:附近,                命中次数 = 35
关键词:中山陵,                命中次数 = 3
关键词:狮子楼,                命中次数 = 2
关键词:洗衣,                命中次数 = 1
关键词:餐厅；优惠,                命中次数 = 9
关键词:中餐；去,                命中次数 = 5
关键词:景点,                命中次数 = 6
关键词:卫生间,                命中次数 = 279
关键词:客厅,                命中次数 = 4
关键词:咖啡；哪,                命中次数 = 7
关键词:好吃,                命中次数 = 48
关键词:退房,                命中次数 = 3
关键词:住酒店,                命中次数 = 2
关键词:充电宝,                命中次数 = 4
关键词:早餐；去,                命中次数 = 4
关键词:包厢；哪,                命中次数 = 8
关键词:喝水,                命中次数 = 6
关键词:车；地铁,                命中次数 = 1
关键词:南京南站,                命中次数 = 5
关键词:南京有什么,                命中次数 = 8
关键词:停车；券,                命中次数 = 1
关键词:休息区,                命中次数 = 5
关键词:早餐；地方,                命中次数 = 1
关键词:拿；快递,                命中次数 = 1
关键词:楼层,                命中次数 = 4
关键词:博物馆,                命中次数 = 3
关键词:花语市场,                命中次数 = 1
关键词:附近；好玩,                命中次数 = 8
关键词:坐；电梯,                命中次数 = 13
关键词:健身房；哪,                命中次数 = 2
关键词:周边,                命中次数 = 3
关键词:特色菜,                命中次数 = 3
关键词:宴会厅；哪,                命中次数 = 5
关键词:总统府,                命中次数 = 8
关键词:多远；地铁,                命中次数 = 1
关键词:餐厅,                命中次数 = 34
关键词:几层,                命中次数 = 1
关键词:去；高铁站,                命中次数 = 1
关键词:膳食体验馆,                命中次数 = 3
关键词:超市；地方,                命中次数 = 1
关键词:茶吧；去,                命中次数 = 4
关键词:乐园；哪,                命中次数 = 2
关键词:品牌展示区2,                命中次数 = 3
关键词:打扫,                命中次数 = 3
关键词:证明,                命中次数 = 1
关键词:水吧,                命中次数 = 2
关键词:停车,                命中次数 = 12
关键词:餐厅；哪,                命中次数 = 19
关键词:书吧,                命中次数 = 5
关键词:中餐,                命中次数 = 4
关键词:包厢；包厢,                命中次数 = 5
关键词:奶茶,                命中次数 = 3
关键词:最近；景点,                命中次数 = 1
关键词:健身房；去,                命中次数 = 1
关键词:游乐场；去,                命中次数 = 1
关键词:医院,                命中次数 = 2
关键词:游泳馆；哪,                命中次数 = 2
关键词:上网,                命中次数 = 2
关键词:广场,                命中次数 = 8
关键词:多远；机场,                命中次数 = 4
关键词:哪里；机场,                命中次数 = 2
关键词:行李,                命中次数 = 2
关键词:商务中心,                命中次数 = 3
关键词:房价,                命中次数 = 4
关键词:乐园,                命中次数 = 1
关键词:wifi；多少,                命中次数 = 4
关键词:游乐场；小孩,                命中次数 = 1
关键词:ktv；楼,                命中次数 = 1
关键词:客梯；厅,                命中次数 = 1
关键词:酒店大门,                命中次数 = 1
关键词:路线,                命中次数 = 4
关键词:酒店总经理,                命中次数 = 1
关键词:餐厅；早餐,                命中次数 = 2
关键词:吧台,                命中次数 = 4
关键词:米线,                命中次数 = 1
关键词:玄武区,                命中次数 = 2
关键词:有几层,                命中次数 = 2
关键词:景区,                命中次数 = 3
关键词:早饭,                命中次数 = 7
关键词:包厢；楼,                命中次数 = 1
关键词:周围；超市,                命中次数 = 1
关键词:行李；哪,                命中次数 = 2
关键词:公园；去,                命中次数 = 2
关键词:客房；去,                命中次数 = 7
关键词:庐山厅,                命中次数 = 4
关键词:附近；餐,                命中次数 = 6
关键词:儿童活动区,                命中次数 = 10
关键词:餐厅；卫生间,                命中次数 = 1
关键词:去；公交,                命中次数 = 1
关键词:服务台,                命中次数 = 4
关键词:小吃；什么,                命中次数 = 4
关键词:周围；博物馆,                命中次数 = 1
关键词:附近；购物,                命中次数 = 2
关键词:零食,                命中次数 = 1
关键词:周边；好玩,                命中次数 = 1
关键词:商场,                命中次数 = 2
关键词:西餐；哪,                命中次数 = 1
关键词:活动,                命中次数 = 7
关键词:周边；吃,                命中次数 = 2
关键词:长治岛,                命中次数 = 3
关键词:优惠,                命中次数 = 5
关键词:苏宁总部,                命中次数 = 1
关键词:空调,                命中次数 = 2
关键词:健身房；楼,                命中次数 = 3
关键词:商场；哪,                命中次数 = 2
关键词:停车；去,                命中次数 = 10
关键词:明孝陵,                命中次数 = 2
关键词:购物,                命中次数 = 16
关键词:入住；入住,                命中次数 = 13
关键词:鄱阳湖厅,                命中次数 = 1
关键词:电影,                命中次数 = 10
